icd10_code,description,code_family,chapter,chronic,specificity,hcc_v28_code,hcc_v28_label
C91.90,"Lymphoid leukemia, unspecified not having achieved remission",C91,Neoplasms,true,unspecified,23,Multiple Myeloma and Other Neoplasms
C91.91,"Lymphoid leukemia, unspecified, in remission",C91,Neoplasms,true,unspecified,23,Multiple Myeloma and Other Neoplasms
C91.Z0,Other lymphoid leukemia not having achieved remission,C91,Neoplasms,true,specified,23,Multiple Myeloma and Other Neoplasms
C91.Z2,"Other lymphoid leukemia, in relapse",C91,Neoplasms,true,specified,23,Multiple Myeloma and Other Neoplasms
C92.02,"Acute myeloblastic leukemia, in relapse",C92,Neoplasms,true,specified,23,Multiple Myeloma and Other Neoplasms
C92.10,"Chronic myeloid leukemia, BCR/ABL-positive, not having achieved remission",C92,Neoplasms,true,specified,23,Multiple Myeloma and Other Neoplasms
C92.20,"Atypical chronic myeloid leukemia, BCR/ABL-negative, not having achieved remission",C92,Neoplasms,true,specified,23,Multiple Myeloma and Other Neoplasms
C92.41,"Acute promyelocytic leukemia, in remission",C92,Neoplasms,true,specified,23,Multiple Myeloma and Other Neoplasms
C92.42,"Acute promyelocytic leukemia, in relapse",C92,Neoplasms,true,specified,23,Multiple Myeloma and Other Neoplasms
C92.51,"Acute myelomonocytic leukemia, in remission",C92,Neoplasms,true,specified,23,Multiple Myeloma and Other Neoplasms
C92.60,Acute myeloid leukemia with 11q23-abnormality not having achieved remission,C92,Neoplasms,true,specified,23,Multiple Myeloma and Other Neoplasms
C92.90,"Myeloid leukemia, unspecified, not having achieved remission",C92,Neoplasms,true,unspecified,23,Multiple Myeloma and Other Neoplasms
C92.91,"Myeloid leukemia, unspecified in remission",C92,Neoplasms,true,unspecified,23,Multiple Myeloma and Other Neoplasms
C92.92,"Myeloid leukemia, unspecified in relapse",C92,Neoplasms,true,unspecified,23,Multiple Myeloma and Other Neoplasms
C92.A0,"Acute myeloid leukemia with multilineage dysplasia, not having achieved remission",C92,Neoplasms,true,specified,23,Multiple Myeloma and Other Neoplasms
C92.A2,"Acute myeloid leukemia with multilineage dysplasia, in relapse",C92,Neoplasms,true,specified,23,Multiple Myeloma and Other Neoplasms
C92.Z0,Other myeloid leukemia not having achieved remission,C92,Neoplasms,true,specified,23,Multiple Myeloma and Other Neoplasms
C92.Z1,"Other myeloid leukemia, in remission",C92,Neoplasms,true,specified,23,Multiple Myeloma and Other Neoplasms
D50.9,"Iron deficiency anemia, unspecified",D50,Diseases of the blood and blood-forming organs,true,unspecified,,
D61.02,Shwachman-Diamond syndrome,D61,Diseases of the blood and blood-forming organs,true,specified,112,Aplastic Anemia and Other Significant Blood Disorders
D61.1,Drug-induced aplastic anemia,D61,Diseases of the blood and blood-forming organs,true,specified,112,Aplastic Anemia and Other Significant Blood Disorders
D61.818,Other pancytopenia,D61,Diseases of the blood and blood-forming organs,true,specified,112,Aplastic Anemia and Other Significant Blood Disorders
D64.9,"Anemia, unspecified",D64,Diseases of the blood and blood-forming organs,false,unspecified,,
D68.020,"Von Willebrand disease, type 2A",D68,Diseases of the blood and blood-forming organs,true,specified,112,Aplastic Anemia and Other Significant Blood Disorders
D68.09,Other von Willebrand disease,D68,Diseases of the blood and blood-forming organs,true,specified,112,Aplastic Anemia and Other Significant Blood Disorders
D68.2,Hereditary deficiency of other clotting factors,D68,Diseases of the blood and blood-forming organs,true,specified,112,Aplastic Anemia and Other Significant Blood Disorders
D68.318,"Other hemorrhagic disorder due to intrinsic circulating anticoagulants, antibodies, or inhibitors",D68,Diseases of the blood and blood-forming organs,true,specified,112,Aplastic Anemia and Other Significant Blood Disorders
D68.32,Hemorrhagic disorder due to extrinsic circulating anticoagulants,D68,Diseases of the blood and blood-forming organs,true,specified,112,Aplastic Anemia and Other Significant Blood Disorders
D68.4,Acquired coagulation factor deficiency,D68,Diseases of the blood and blood-forming organs,true,specified,112,Aplastic Anemia and Other Significant Blood Disorders
D68.52,Prothrombin gene mutation,D68,Diseases of the blood and blood-forming organs,true,specified,112,Aplastic Anemia and Other Significant Blood Disorders
D68.69,Other thrombophilia,D68,Diseases of the blood and blood-forming organs,true,specified,112,Aplastic Anemia and Other Significant Blood Disorders
E03.9,"Hypothyroidism, unspecified",E03,"Endocrine, nutritional and metabolic diseases",false,unspecified,,
E10.21,Type 1 diabetes mellitus with diabetic nephropathy,E10,"Endocrine, nutritional and metabolic diseases",true,specified,36,Diabetes with Chronic Complications
E10.3552,"Type 1 diabetes mellitus with stable proliferative diabetic retinopathy, left eye",E10,"Endocrine, nutritional and metabolic diseases",true,specified,36,Diabetes with Chronic Complications
E10.3553,"Type 1 diabetes mellitus with stable proliferative diabetic retinopathy, bilateral",E10,"Endocrine, nutritional and metabolic diseases",true,specified,36,Diabetes with Chronic Complications
E10.40,"Type 1 diabetes mellitus with diabetic neuropathy, unspecified",E10,"Endocrine, nutritional and metabolic diseases",true,unspecified,36,Diabetes with Chronic Complications
